thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
8,8,4,512,2095,40,8,10,0,50,1000000,1,0,5864772,0.0001,56.1375,4.47802e+08,,0.11627,8384,8384,3753620336
8,8,4,512,2095,40,8,10,0,50,1000000,1,0,5863909,0.0001,55.9107,4.47707e+08,,0.116368,8384,8384,3753053792
8,8,4,512,2095,40,8,10,0,50,1000000,1,0,5857637,0.0001,55.4183,4.47247e+08,,0.116198,8384,8384,3749155792
8,8,4,512,2095,40,8,10,0,50,1000000,1,0,5866749,0.0001,55.6797,4.47894e+08,,0.116455,8381,8381,3754616432
8,8,4,512,2095,40,8,10,0,50,1000000,1,0,5862976,0.0001,55.2417,4.47644e+08,,0.116228,8376,8376,3752546624
24,8,4,512,2095,40,8,10,0,50,1000000,1,0,17072513,0.0004,59.5918,1.30306e+09,,0.34497,13781,25099,10926311072
24,8,4,512,2095,40,8,10,0,50,1000000,1,0,17063173,0.0004,60.0090,1.30238e+09,,0.343991,13761,25106,10920643344
24,8,4,512,2095,40,8,10,0,50,1000000,1,0,17072498,0.0004,60.1284,1.3032e+09,,0.34447,13813,25126,10927176656
24,8,4,512,2095,40,8,10,0,50,1000000,1,0,17036830,0.0004,59.6472,1.30035e+09,,0.344112,13708,25030,10904023456
24,8,4,512,2095,40,8,10,0,50,1000000,1,0,17022898,0.0004,59.7878,1.29927e+09,,0.344211,13679,24958,10894982960
56,8,4,512,2095,40,8,10,0,50,1000000,1,0,36553856,0.0009,63.5233,2.7847e+09,,0.724463,9250,46656,23395381344
56,8,4,512,2095,40,8,10,0,50,1000000,1,0,36623117,0.0009,63.4278,2.78978e+09,,0.729561,9205,46631,23440186400
56,8,4,512,2095,40,8,10,0,50,1000000,1,0,36481642,0.0009,65.2535,2.78074e+09,,0.726017,9331,46500,23349192384
56,8,4,512,2095,40,8,10,0,50,1000000,1,0,36455703,0.0009,64.7200,2.7815e+09,,0.729551,9209,46615,23331890192
56,8,4,512,2095,40,8,10,0,50,1000000,1,0,36562258,0.0009,63.2485,2.78431e+09,,0.725716,9297,46661,23401160160
88,8,4,512,2095,40,8,10,0,50,1000000,1,0,51420595,0.0014,62.9493,3.91752e+09,,0.875377,8277,71774,32911314272
88,8,4,512,2095,40,8,10,0,50,1000000,1,0,51421700,0.0014,60.9603,3.91942e+09,,0.869785,8515,71518,32910668560
88,8,4,512,2095,40,8,10,0,50,1000000,1,0,51557979,0.0014,59.8423,3.92939e+09,,0.865968,8700,71737,32998042128
88,8,4,512,2095,40,8,10,0,50,1000000,1,0,51661962,0.0014,63.4955,3.93731e+09,,0.87644,8284,71963,33064702896
88,8,4,512,2095,40,8,10,0,50,1000000,1,0,51461409,0.0014,60.3351,3.9199e+09,,0.869912,8574,71600,32936143344
120,8,4,512,2095,40,8,10,0,50,1000000,1,0,51917702,0.0017,149.1618,3.94122e+09,,0.985657,1654,77541,33227546928
120,8,4,512,2095,40,8,10,0,50,1000000,1,0,52207977,0.0017,148.6807,3.96629e+09,,0.982519,1663,77705,33414198016
120,8,4,512,2095,40,8,10,0,50,1000000,1,0,52266452,0.0017,148.7739,3.96174e+09,,0.983319,1669,77925,33451843472
120,8,4,512,2095,40,8,10,0,50,1000000,1,0,52482963,0.0017,146.0354,3.9906e+09,,0.982601,1692,78274,33590298768
120,8,4,512,2095,40,8,10,0,50,1000000,1,0,52804819,0.0017,143.8717,4.01492e+09,,0.984599,1683,78921,33796124736
152,8,4,512,2095,40,8,10,0,50,1000000,1,0,51270033,0.0021,193.7603,3.89456e+09,,0.975641,1286,80149,32813779152
152,8,4,512,2095,40,8,10,0,50,1000000,1,0,52085553,0.0021,186.2184,3.93857e+09,,0.977133,1314,80973,33336267472
152,8,4,512,2095,40,8,10,0,50,1000000,1,0,52810686,0.0021,192.7328,3.99287e+09,,0.976585,1326,82321,33799602800
152,8,4,512,2095,40,8,10,0,50,1000000,1,0,52366102,0.0021,190.7930,3.96831e+09,,0.97658,1323,81629,33516178048
152,8,4,512,2095,40,8,10,0,50,1000000,1,0,51322005,0.0021,189.2968,3.88705e+09,,0.975823,1299,80287,32846839424
184,8,4,512,2095,40,8,10,0,50,1000000,1,0,52143894,0.0024,231.2765,3.954e+09,,0.970629,1098,84590,33372754080
184,8,4,512,2095,40,8,10,0,50,1000000,1,0,50320170,0.0024,246.8217,3.80285e+09,,0.970393,1057,81717,32206581024
184,8,4,512,2095,40,8,10,0,50,1000000,1,0,50688720,0.0024,241.9941,3.84574e+09,,0.972326,1071,82653,32441794976
184,8,4,512,2095,40,8,10,0,50,1000000,1,0,51067463,0.0024,242.4992,3.86773e+09,,0.972791,1075,83245,32683974240
184,8,4,512,2095,40,8,10,0,50,1000000,1,0,52514719,0.0024,229.7792,3.96979e+09,,0.975853,1106,85354,33609711408
216,8,4,512,2095,40,8,10,0,50,1000000,1,0,51187090,0.0053,267.5599,3.87276e+09,,0.973149,922,85978,32761257472
216,8,4,512,2095,40,8,10,0,50,1000000,1,0,52036796,0.0081,269.0586,3.92614e+09,,0.961976,945,87040,33304857088
216,8,4,512,2095,40,8,10,0,50,1000000,1,0,51600903,0.0026,266.8743,3.90838e+09,,0.968713,941,86935,33025592944
216,8,4,512,2095,40,8,10,0,50,1000000,1,0,53073488,0.0026,262.5642,4.01828e+09,,0.963611,959,89128,33968476896
216,8,4,512,2095,40,8,10,0,50,1000000,1,0,51691718,0.0027,265.8703,3.91577e+09,,0.969955,944,87553,33082985632
16,16,4,512,2095,40,8,10,0,50,1000000,1,0,11506768,0.0003,58.7179,8.78522e+08,,0.163252,16724,16730,7364477248
16,16,4,512,2095,40,8,10,0,50,1000000,1,0,11497733,0.0003,58.5419,8.77846e+08,,0.163246,16761,16764,7358822208
16,16,4,512,2095,40,8,10,0,50,1000000,1,0,11526090,0.0003,59.0301,8.8003e+08,,0.165035,16762,16767,7377211856
16,16,4,512,2095,40,8,10,0,50,1000000,1,0,11494583,0.0003,58.3660,8.7767e+08,,0.163849,16764,16768,7356944944
16,16,4,512,2095,40,8,10,0,50,1000000,1,0,11519910,0.0003,58.9327,8.79567e+08,,0.163917,16761,16767,7373084608
48,16,4,512,2095,40,8,10,0,50,1000000,1,0,31838855,0.0008,64.7064,2.42455e+09,,0.500258,18036,40167,20376789680
48,16,4,512,2095,40,8,10,0,50,1000000,1,0,31870585,0.0008,64.5006,2.43011e+09,,0.499981,18170,40241,20397793824
48,16,4,512,2095,40,8,10,0,50,1000000,1,0,31751695,0.0008,65.8903,2.42053e+09,,0.497186,18197,40160,20321826848
48,16,4,512,2095,40,8,10,0,50,1000000,1,0,32140173,0.0008,63.1484,2.45074e+09,,0.505063,18217,40496,20570110768
48,16,4,512,2095,40,8,10,0,50,1000000,1,0,31778435,0.0008,65.4251,2.42041e+09,,0.501302,18099,40167,20339473200
80,16,4,512,2095,40,8,10,0,50,1000000,1,0,47461106,0.0013,64.3628,3.60867e+09,,0.715815,17303,65650,30376073888
80,16,4,512,2095,40,8,10,0,50,1000000,1,0,47346709,0.0013,65.3765,3.60813e+09,,0.722493,16647,65678,30302836544
80,16,4,512,2095,40,8,10,0,50,1000000,1,0,47231836,0.0013,65.6905,3.59737e+09,,0.71809,16972,65425,30229120112
80,16,4,512,2095,40,8,10,0,50,1000000,1,0,47140971,0.0013,66.4601,3.5947e+09,,0.712322,16943,65424,30170499888
80,16,4,512,2095,40,8,10,0,50,1000000,1,0,47332839,0.0013,64.2935,3.60818e+09,,0.70932,17117,65601,30294419936
112,16,4,512,2095,40,8,10,0,50,1000000,1,0,59819019,0.0018,83.4303,4.55411e+09,,0.874373,14249,86565,38286202592
112,16,4,512,2095,40,8,10,0,50,1000000,1,0,60334954,0.0018,76.9818,4.5978e+09,,0.875044,14616,87467,38615178912
112,16,4,512,2095,40,8,10,0,50,1000000,1,0,59499673,0.0018,81.5122,4.53286e+09,,0.865525,14682,86272,38080530688
112,16,4,512,2095,40,8,10,0,50,1000000,1,0,59684014,0.0018,79.3067,4.54921e+09,,0.872084,14332,86514,38199584352
112,16,4,512,2095,40,8,10,0,50,1000000,1,0,60626463,0.0018,80.4938,4.61349e+09,,0.873253,14580,87745,38802836048
144,16,4,512,2095,40,8,10,0,50,1000000,1,0,62600324,0.0025,128.6383,4.75585e+09,,0.939669,10806,94905,40065695248
144,16,4,512,2095,40,8,10,0,50,1000000,1,0,64763058,0.0025,112.7952,4.92197e+09,,0.9316,12190,98066,41450094784
144,16,4,512,2095,40,8,10,0,50,1000000,1,0,62888956,0.0025,119.2867,4.78935e+09,,0.929715,10729,94974,40250442624
144,16,4,512,2095,40,8,10,0,50,1000000,1,0,64563881,0.0025,117.9140,4.91632e+09,,0.928098,11158,97671,41321860592
144,16,4,512,2095,40,8,10,0,50,1000000,1,0,64548648,0.0025,127.2716,4.89465e+09,,0.940522,10560,98259,41310997296
176,16,4,512,2095,40,8,10,0,50,1000000,1,0,62392859,0.0027,178.2991,4.74236e+09,,0.963065,3033,95573,39932547856
176,16,4,512,2095,40,8,10,0,50,1000000,1,0,61116232,0.0027,182.0745,4.64156e+09,,0.966771,2959,94149,39116164656
176,16,4,512,2095,40,8,10,0,50,1000000,1,0,61038677,0.0028,181.9402,4.63675e+09,,0.971995,2935,93993,39066722000
176,16,4,512,2095,40,8,10,0,50,1000000,1,0,63016479,0.0027,174.7972,4.78456e+09,,0.968283,2992,96939,40332869408
176,16,4,512,2095,40,8,10,0,50,1000000,1,0,61521024,0.0027,184.5195,4.6502e+09,,0.965973,2929,94504,39376135584
208,16,4,512,2095,40,8,10,0,50,1000000,1,0,56623551,0.0028,249.8485,4.29553e+09,,0.966049,2091,89416,36240710880
208,16,4,512,2095,40,8,10,0,50,1000000,1,0,57724533,0.0028,244.2771,4.35898e+09,,0.960756,2114,91749,36944462032
208,16,4,512,2095,40,8,10,0,50,1000000,1,0,59815480,0.0029,236.5491,4.53415e+09,,0.960885,2216,94821,38282770368
208,16,4,512,2095,40,8,10,0,50,1000000,1,0,58271959,0.0028,249.9696,4.39008e+09,,0.952202,2153,92340,37295531888
208,16,4,512,2095,40,8,10,0,50,1000000,1,0,58088206,0.0028,241.9172,4.38914e+09,,0.967173,2172,91569,37177519808
40,24,4,512,2095,40,8,10,0,50,1000000,1,0,27264626,0.0007,61.7854,2.07662e+09,,0.338154,26597,36218,17449931264
40,24,4,512,2095,40,8,10,0,50,1000000,1,0,27223808,0.0007,61.9627,2.07592e+09,,0.337241,26339,35852,17423732720
40,24,4,512,2095,40,8,10,0,50,1000000,1,0,27239269,0.0007,61.7611,2.07474e+09,,0.339989,26418,35961,17433680816
40,24,4,512,2095,40,8,10,0,50,1000000,1,0,27216095,0.0007,62.1439,2.07285e+09,,0.338474,26525,36142,17419178240
40,24,4,512,2095,40,8,10,0,50,1000000,1,0,27240050,0.0007,62.2841,2.07522e+09,,0.34106,26363,36003,17434057984
72,24,4,512,2095,40,8,10,0,50,1000000,1,0,42965927,0.0011,68.1128,3.27801e+09,,0.640182,24189,59220,27499801392
72,24,4,512,2095,40,8,10,0,50,1000000,1,0,42757254,0.0011,69.0386,3.25888e+09,,0.642556,23572,59095,27364929936
72,24,4,512,2095,40,8,10,0,50,1000000,1,0,43088736,0.0011,67.7846,3.28335e+09,,0.647022,23906,59191,27576992480
72,24,4,512,2095,40,8,10,0,50,1000000,1,0,43197413,0.0011,68.5560,3.28698e+09,,0.643338,24266,59251,27645499408
72,24,4,512,2095,40,8,10,0,50,1000000,1,0,42536863,0.0011,69.8775,3.23408e+09,,0.646159,22967,58592,27224537360
104,24,4,512,2095,40,8,10,0,50,1000000,1,0,57735107,0.0017,68.8339,4.3976e+09,,0.755447,25821,81592,36950651056
104,24,4,512,2095,40,8,10,0,50,1000000,1,0,57967224,0.0017,66.5758,4.41774e+09,,0.745276,26476,81736,37101162960
104,24,4,512,2095,40,8,10,0,50,1000000,1,0,57352986,0.0017,71.1892,4.37484e+09,,0.761553,24940,81215,36707710736
104,24,4,512,2095,40,8,10,0,50,1000000,1,0,57690509,0.0017,67.8981,4.39671e+09,,0.749715,26235,81204,36923731296
104,24,4,512,2095,40,8,10,0,50,1000000,1,0,57344232,0.0017,69.7463,4.36614e+09,,0.752597,25951,80985,36702008816
