thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
8,8,4,512,2095,40,8,10,0,0,1000000,1,0,6746880,0.0003,56.8177,1.03022e+09,,0.260022,16760,16791,8636236800
8,8,4,512,2095,40,8,10,0,0,1000000,1,0,6752962,0.0003,56.9069,1.03117e+09,,0.261323,16756,16771,8644020688
8,8,4,512,2095,40,8,10,0,0,1000000,1,0,6788576,0.0003,56.8655,1.03666e+09,,0.261768,16862,16930,8689610400
8,8,4,512,2095,40,8,10,0,0,1000000,1,0,6779527,0.0003,56.8982,1.03517e+09,,0.261782,16768,16814,8678024624
8,8,4,512,2095,40,8,10,0,0,1000000,1,0,6762874,0.0003,57.0530,1.03267e+09,,0.26132,16779,16806,8656709120
24,8,4,512,2095,40,8,10,0,0,1000000,1,0,20274364,0.0009,56.3497,3.09371e+09,,0.744622,24411,50279,25951878048
24,8,4,512,2095,40,8,10,0,0,1000000,1,0,20263826,0.0008,56.2256,3.0925e+09,,0.745508,24439,50265,25938384240
24,8,4,512,2095,40,8,10,0,0,1000000,1,0,20279781,0.0009,56.2088,3.09498e+09,,0.742403,24380,50271,25958807600
24,8,4,512,2095,40,8,10,0,0,1000000,1,0,20271551,0.0009,56.4842,3.09374e+09,,0.745102,24326,50272,25948273024
24,8,4,512,2095,40,8,10,0,0,1000000,1,0,20267872,0.0009,56.3613,3.09347e+09,,0.744439,24372,50264,25943563200
56,8,4,512,2095,40,8,10,0,0,1000000,1,0,35971740,0.0018,62.8535,5.48141e+09,,0.994029,4670,94873,46045143776
56,8,4,512,2095,40,8,10,0,0,1000000,1,0,35893112,0.0018,63.0250,5.46963e+09,,0.993923,4640,94750,45944493936
56,8,4,512,2095,40,8,10,0,0,1000000,1,0,35791045,0.0017,63.4077,5.45612e+09,,0.994119,4651,94436,45813840544
56,8,4,512,2095,40,8,10,0,0,1000000,1,0,35843493,0.0018,62.7103,5.45798e+09,,0.994153,4718,94601,45880982272
56,8,4,512,2095,40,8,10,0,0,1000000,1,0,35768792,0.0018,63.1251,5.44943e+09,,0.993845,4616,94347,45785356800
88,8,4,512,2095,40,8,10,0,0,1000000,1,0,35763747,0.0020,93.8830,5.4445e+09,,0.992472,2703,98929,45778972368
88,8,4,512,2095,40,8,10,0,0,1000000,1,0,35755399,0.0019,95.0396,5.44064e+09,,0.991998,2720,98884,45768286864
88,8,4,512,2095,40,8,10,0,0,1000000,1,0,35799581,0.0019,93.9235,5.44916e+09,,0.992745,2716,99049,45824842944
