thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,589977,0.0000,45.0188,4.50337e+07,,0.0449813,840,840,377529440
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,590519,0.0000,45.0239,4.5078e+07,,0.0455317,840,840,377896128
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,590870,0.0000,45.0027,4.51065e+07,,0.0457037,840,840,378140288
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,589898,0.0000,45.0649,4.5037e+07,,0.0453099,840,840,377559184
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,593070,0.0000,44.9476,4.52829e+07,,0.0460638,840,840,379619072
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1689056,0.0001,48.0504,1.28926e+08,,0.121871,1526,2520,1081019600
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1690993,0.0001,47.2425,1.29083e+08,,0.121468,1511,2520,1082329728
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1695002,0.0001,47.7673,1.29362e+08,,0.122095,1524,2520,1084788288
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1695171,0.0001,47.9915,1.29414e+08,,0.121993,1508,2520,1085056560
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1697175,0.0001,48.4291,1.29534e+08,,0.122659,1529,2520,1086187664
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3854487,0.0001,57.6397,2.94045e+08,,0.269385,1679,5880,2467051152
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3839339,0.0001,57.8772,2.9292e+08,,0.268374,1677,5880,2457484832
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3851354,0.0001,58.0107,2.93792e+08,,0.26894,1683,5880,2464992064
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3838443,0.0002,58.7627,2.92807e+08,,0.268238,1681,5880,2456610304
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3827137,0.0001,58.3626,2.91962e+08,,0.266391,1680,5880,2449362176
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,5460132,0.0002,63.6962,4.16384e+08,,0.379544,1660,9239,3494605248
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,5455993,0.0002,64.1031,4.16059e+08,,0.378965,1670,9239,3491963136
