thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,581600,0.0000,60.5393,4.43895e+07,,0.184026,840,840,372230432
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,581400,0.0000,60.0737,4.4365e+07,,0.176819,840,840,372034688
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,582822,0.0000,60.3540,4.44836e+07,,0.178736,840,840,373029232
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,582876,0.0000,60.1483,4.4488e+07,,0.180834,840,840,373069584
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,582037,0.0000,60.5436,4.44189e+07,,0.181987,840,840,372484912
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1687502,0.0001,75.7359,1.28535e+08,,0.817626,1072,2520,1080052176
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1685556,0.0001,75.0881,1.28379e+08,,0.811363,1098,2520,1078773280
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1688958,0.0001,74.6449,1.28802e+08,,0.808051,1091,2520,1081047776
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1688574,0.0001,75.0151,1.28581e+08,,0.80854,1097,2520,1080635312
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1687876,0.0001,74.2421,1.28531e+08,,0.799775,1103,2520,1080334480
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3297727,0.0001,306.5890,2.49261e+08,,0.993988,228,5347,2110722896
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3231781,0.0001,319.4806,2.44417e+08,,0.99352,224,5378,2068410720
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3272458,0.0001,311.0830,2.4747e+08,,0.993788,222,5354,2094534640
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3202631,0.0001,328.5951,2.42099e+08,,0.993974,224,5486,2049859536
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3189323,0.0001,327.0735,2.41472e+08,,0.994137,225,5546,2040942416
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,3420601,0.0002,475.6458,2.58123e+08,,0.993701,174,7225,2189210384
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,3403579,0.0002,480.0063,2.57034e+08,,0.993716,172,7150,2178594384
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,3457459,0.0002,467.8948,2.6136e+08,,0.993626,176,7306,2213035872
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,3440982,0.0002,491.1494,2.59406e+08,,0.993753,174,7250,2202272704
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,3428657,0.0002,475.1393,2.58817e+08,,0.993393,176,7299,2194516480
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,3335837,0.0003,497.2441,2.51243e+08,,0.992034,148,8398,2135138512
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,3387659,0.0003,511.6927,2.55049e+08,,0.992244,150,8491,2168161168
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,3372359,0.0003,516.6810,2.53692e+08,,0.992218,148,8362,2158372176
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,3357533,0.0003,524.1301,2.52702e+08,,0.992114,148,8397,2148929088
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,3368516,0.0003,518.6819,2.53808e+08,,0.992175,148,8395,2155969824
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,3405962,0.0003,532.2576,2.55024e+08,,0.991982,138,9784,2179720112
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,3405767,0.0003,538.8788,2.56194e+08,,0.991759,136,9628,2180179648
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,3374737,0.0004,535.0118,2.53236e+08,,0.992973,135,9464,2159993664
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,3385488,0.0004,548.0949,2.53892e+08,,0.991967,132,9365,2167072512
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,3376635,0.0003,525.9961,2.53632e+08,,0.991723,138,9759,2161141536
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,3468358,0.0004,646.6486,2.58327e+08,,0.992731,118,9890,2219961136
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,3472035,0.0004,621.8950,2.59184e+08,,0.992542,122,10258,2222298800
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,3436153,0.0004,621.8508,2.57774e+08,,0.99257,124,10355,2199161504
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,3483060,0.0004,644.5357,2.59801e+08,,0.992386,118,9890,2229168480
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,3437303,0.0005,644.1846,2.57565e+08,,0.992066,115,9706,2199974704
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,3561898,0.0005,728.5776,2.6481e+08,,0.992064,106,10264,2280055200
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,3482102,0.0005,801.9372,2.59965e+08,,0.991749,102,9866,2228709424
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,3653997,0.0005,1190.6575,2.68631e+08,,0.992464,96,9231,2338686464
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,3539320,0.0005,766.0570,2.63391e+08,,0.991967,104,10088,2265324912
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,3516612,0.0005,724.5063,2.62992e+08,,0.991713,106,10293,2250618800
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1124709,0.0000,71.1687,8.58266e+07,,0.345054,1679,1680,719911312
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1128142,0.0000,71.2666,8.60882e+07,,0.349652,1680,1680,722129968
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1124211,0.0000,71.3385,8.577e+07,,0.353963,1680,1680,719466912
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1128938,0.0000,71.2038,8.61381e+07,,0.346393,1680,1680,722514384
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1124298,0.0000,71.4073,8.57813e+07,,0.348198,1680,1680,719597680
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3306928,0.0001,171.9115,2.50893e+08,,0.993321,727,5040,2116530048
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3314466,0.0001,169.9422,2.5153e+08,,0.993668,721,5040,2121637360
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3309803,0.0001,167.2720,2.51019e+08,,0.992964,733,5040,2118499152
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3307810,0.0001,171.8718,2.50864e+08,,0.993541,719,5040,2117066128
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3310164,0.0001,160.4348,2.51096e+08,,0.993139,736,5040,2118731296
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,3677978,0.0002,408.2809,2.78167e+08,,0.993855,383,7084,2353881216
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,3670988,0.0002,403.8482,2.77705e+08,,0.993842,384,7095,2349519568
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,3634547,0.0002,416.3858,2.74266e+08,,0.993463,384,7137,2326183184
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,3655771,0.0002,417.7623,2.75693e+08,,0.993281,382,7123,2339827664
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,3710529,0.0002,409.2596,2.79579e+08,,0.995022,384,7109,2374657584
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,3787066,0.0003,512.5288,2.84785e+08,,0.993403,320,8518,2423976640
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,3848557,0.0003,506.0516,2.89354e+08,,0.993157,324,8570,2463270400
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,3762424,0.0003,517.2479,2.83374e+08,,0.993452,324,8554,2408213072
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,3737418,0.0003,506.1611,2.81548e+08,,0.993575,316,8383,2392100368
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,3820032,0.0003,535.3868,2.87312e+08,,0.993645,322,8493,2444788640
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,3741812,0.0003,580.1314,2.81984e+08,,0.991764,287,9787,2394769328
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,3725415,0.0003,594.4590,2.80813e+08,,0.992271,287,9776,2384271424
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,3706813,0.0003,563.6191,2.79606e+08,,0.991656,292,9888,2372591312
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,3711670,0.0003,649.5566,2.79403e+08,,0.99183,272,9179,2375661072
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,3742854,0.0003,574.8397,2.81386e+08,,0.991781,287,9680,2395526800
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,3812890,0.0004,691.5008,2.85824e+08,,0.99139,243,9985,2440495600
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,3865971,0.0004,704.0113,2.89415e+08,,0.991831,243,9944,2474260272
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,3808731,0.0004,719.4217,2.85083e+08,,0.991636,236,9700,2437708160
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,3806069,0.0004,640.8476,2.8355e+08,,0.991364,255,10488,2436214400
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,3795718,0.0004,622.9622,2.83796e+08,,0.991717,248,10128,2429279360
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,3871816,0.0005,697.1086,2.8828e+08,,0.991587,220,10555,2478031680
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,3858030,0.0005,682.6725,2.88511e+08,,0.990611,224,10798,2469463248
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,3833005,0.0005,811.1519,2.86849e+08,,0.991574,215,10296,2453221792
