thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,589907,0.0000,45.0761,4.50354e+07,,0.0457452,840,840,377546208
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,588931,0.0000,45.0646,4.49603e+07,,0.04574,840,840,376890352
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,587961,0.0000,45.1348,4.4889e+07,,0.0454952,840,840,376316992
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,588786,0.0000,45.1043,4.49437e+07,,0.0457365,840,840,376780672
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,585497,0.0000,49.3807,4.46973e+07,,0.0470399,828,841,374694848
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1679401,0.0001,47.9292,1.28183e+08,,0.121395,1463,2520,1074766144
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1695138,0.0001,47.7862,1.29407e+08,,0.122618,1488,2520,1085107264
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1669403,0.0001,54.1510,1.27448e+08,,0.125034,1439,2515,1068437504
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1688680,0.0001,48.8161,1.28887e+08,,0.123066,1466,2520,1080819984
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1692593,0.0001,48.6956,1.29191e+08,,0.124722,1513,2520,1083301248
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3830073,0.0001,57.8521,2.9218e+08,,0.271666,1681,5880,2451297344
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3856554,0.0001,57.8477,2.94219e+08,,0.270332,1681,5880,2468228704
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3845067,0.0001,57.5535,2.93333e+08,,0.268196,1681,5880,2460916848
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3837335,0.0002,58.3240,2.92732e+08,,0.271529,1681,5880,2456107744
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3821169,0.0002,57.4163,2.91489e+08,,0.27223,1686,5880,2445626624
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,5459545,0.0002,63.6643,4.16368e+08,,0.385519,1631,9237,3494192400
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,5461128,0.0002,62.4705,4.16503e+08,,0.380542,1652,9240,3495270544
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,5452261,0.0002,63.2028,4.158e+08,,0.382804,1626,9238,3489682288
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,5433287,0.0002,61.6618,4.14349e+08,,0.386206,1583,9239,3477444448
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,5446412,0.0002,61.7732,4.1535e+08,,0.382646,1614,9238,3485862160
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,6733092,0.0003,69.4208,5.13463e+08,,0.454177,1317,12599,4309077184
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,6733975,0.0003,69.3415,5.13671e+08,,0.452081,1318,12598,4310088080
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,6717266,0.0003,69.1163,5.12278e+08,,0.452904,1346,12596,4298892176
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,6716071,0.0003,68.8610,5.12251e+08,,0.444135,1315,12600,4298418480
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,6737086,0.0003,69.0007,5.13785e+08,,0.444055,1330,12596,4311508192
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,7577444,0.0004,70.9836,5.77865e+08,,0.518385,1552,15947,4849638272
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,7589823,0.0004,70.5828,5.78793e+08,,0.527324,1544,15953,4857906432
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,7585328,0.0004,70.8601,5.78509e+08,,0.519127,1564,15951,4855299696
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,7557936,0.0004,70.4409,5.76289e+08,,0.520714,1550,15946,4837117248
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,7589023,0.0004,71.0121,5.78688e+08,,0.530356,1541,15953,4857157424
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,8453047,0.0005,72.1892,6.44627e+08,,0.60037,2075,18273,5410498320
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,8424404,0.0005,72.1354,6.42371e+08,,0.610475,2051,17786,5391992912
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,8419568,0.0005,71.9203,6.4201e+08,,0.602542,2082,17637,5388874400
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,8407566,0.0005,71.9772,6.41054e+08,,0.605781,2054,17476,5381133456
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,8421250,0.0005,72.1016,6.42172e+08,,0.606629,2067,17709,5390344560
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,9195115,0.0006,81.2723,7.00755e+08,,0.63818,854,14117,5885230896
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,9204244,0.0006,80.4851,7.01618e+08,,0.640568,866,14154,5891198816
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,9207418,0.0006,81.4372,7.01754e+08,,0.650318,860,14213,5893114288
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,9225655,0.0006,80.8538,7.03149e+08,,0.645214,849,14488,5904272736
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,9209174,0.0006,81.3485,7.01785e+08,,0.650432,851,14253,5894271472
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1133287,0.0000,48.8713,8.65315e+07,,0.0625338,1680,1680,725467504
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1133996,0.0000,48.8149,8.65821e+07,,0.0628685,1680,1680,725889408
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1135054,0.0000,48.6141,8.66438e+07,,0.06259,1680,1680,726407856
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1133228,0.0000,49.0686,8.65167e+07,,0.062477,1680,1680,725327904
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1131372,0.0000,48.6190,8.63531e+07,,0.0613891,1680,1680,723963424
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3323116,0.0001,53.1941,2.5361e+08,,0.164062,2897,5040,2126730656
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3334791,0.0001,53.6633,2.54508e+08,,0.163403,2968,5040,2134162672
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3328902,0.0001,53.4324,2.54029e+08,,0.166881,2920,5040,2130389520
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3307103,0.0001,52.3952,2.52387e+08,,0.166538,2909,5040,2116485216
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3321225,0.0001,52.1710,2.53477e+08,,0.168914,2953,5040,2125688704
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,5058088,0.0002,59.9612,3.85911e+08,,0.251618,3326,8400,3237239712
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,5038346,0.0002,60.2060,3.84412e+08,,0.250526,3299,8398,3224752944
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,5034435,0.0002,59.8925,3.84099e+08,,0.250189,3337,8398,3222188800
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,5046833,0.0002,59.7658,3.85052e+08,,0.256955,3326,8400,3229940288
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,5029858,0.0002,59.4712,3.83712e+08,,0.254614,3332,8399,3219108752
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,6445706,0.0003,70.7630,4.91699e+08,,0.301444,3380,11760,4125081200
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,6458984,0.0003,70.7410,4.92756e+08,,0.302858,3396,11757,4134053984
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,6468056,0.0003,70.9611,4.93444e+08,,0.300851,3404,11757,4139602640
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,6478753,0.0003,69.9468,4.94251e+08,,0.309334,3262,11759,4146709920
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,6452452,0.0003,70.6462,4.92274e+08,,0.305513,3336,11757,4129950336
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,7346728,0.0004,72.5891,5.60394e+08,,0.351558,3648,15116,4702138544
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,7331327,0.0004,72.2806,5.59227e+08,,0.364078,3631,15117,4692334864
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,7341929,0.0004,72.7665,5.60087e+08,,0.360184,3634,15117,4699188432
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,7317811,0.0004,73.0734,5.58165e+08,,0.357104,3657,15114,4683107200
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,7351882,0.0004,71.9018,5.60899e+08,,0.369501,3656,15097,4705820544
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,8219065,0.0005,66.4870,6.26879e+08,,0.408228,4338,18277,5260669664
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,8210454,0.0005,68.0258,6.26186e+08,,0.408526,4285,18238,5254951504
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,8211195,0.0005,67.1857,6.26361e+08,,0.409499,4314,18271,5255943856
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,8212156,0.0005,66.8747,6.26349e+08,,0.396527,4344,18243,5255943584
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,8189748,0.0005,66.8656,6.2465e+08,,0.393825,4237,17979,5241476304
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,9005794,0.0006,78.6977,6.86823e+08,,0.431408,2056,16397,5764150288
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,9015618,0.0006,79.5768,6.87543e+08,,0.426905,1928,16764,5770499744
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,9027560,0.0006,74.9413,6.88295e+08,,0.431408,2101,17207,5777867280
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,9011097,0.0006,76.6578,6.87053e+08,,0.435504,1988,16817,5767276752
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,9013490,0.0006,77.7690,6.87336e+08,,0.427878,2037,16514,5769026528
10,6,4,512,2095,40,8,10,0,50,1000000,1,0,2786986,0.0001,50.2919,2.12731e+08,,0.121628,3328,4200,1783841856
10,6,4,512,2095,40,8,10,0,50,1000000,1,0,2783112,0.0001,50.5393,2.12426e+08,,0.121927,3324,4200,1781226240
10,6,4,512,2095,40,8,10,0,50,1000000,1,0,2792698,0.0001,50.8458,2.13151e+08,,0.116222,3328,4200,1787393264
10,6,4,512,2095,40,8,10,0,50,1000000,1,0,2775339,0.0001,50.7686,2.1185e+08,,0.119535,3357,4200,1776370768
10,6,4,512,2095,40,8,10,0,50,1000000,1,0,2779382,0.0001,50.1784,2.12133e+08,,0.117527,3366,4200,1778880800
18,6,4,512,2095,40,8,10,0,50,1000000,1,0,4644889,0.0002,56.3046,3.54438e+08,,0.214515,4480,7559,2972924384
18,6,4,512,2095,40,8,10,0,50,1000000,1,0,4645162,0.0002,56.8060,3.54454e+08,,0.217161,4391,7560,2973024912
18,6,4,512,2095,40,8,10,0,50,1000000,1,0,4639898,0.0002,56.1161,3.53957e+08,,0.215315,4411,7560,2969442512
18,6,4,512,2095,40,8,10,0,50,1000000,1,0,4631538,0.0002,56.0825,3.53442e+08,,0.210057,4421,7560,2964192592
18,6,4,512,2095,40,8,10,0,50,1000000,1,0,4651560,0.0002,57.4373,3.55004e+08,,0.206385,4436,7560,2977306336
26,6,4,512,2095,40,8,10,0,50,1000000,1,0,6081221,0.0003,64.5288,4.63946e+08,,0.262681,5110,10918,3892448976
26,6,4,512,2095,40,8,10,0,50,1000000,1,0,6101298,0.0003,63.9893,4.65439e+08,,0.26103,5115,10918,3904732896
26,6,4,512,2095,40,8,10,0,50,1000000,1,0,6103561,0.0003,64.2197,4.65584e+08,,0.265955,5109,10919,3906502032
26,6,4,512,2095,40,8,10,0,50,1000000,1,0,6092517,0.0003,63.2016,4.64804e+08,,0.268855,5127,10915,3899504128
26,6,4,512,2095,40,8,10,0,50,1000000,1,0,6110781,0.0003,63.7429,4.66202e+08,,0.258275,5114,10920,3910986064
34,6,4,512,2095,40,8,10,0,50,1000000,1,0,7083690,0.0004,57.1679,5.40393e+08,,0.272642,5820,14277,4533758128
34,6,4,512,2095,40,8,10,0,50,1000000,1,0,7065164,0.0004,56.5091,5.38992e+08,,0.278959,5700,14276,4522054368
34,6,4,512,2095,40,8,10,0,50,1000000,1,0,7128149,0.0004,57.1359,5.43736e+08,,0.266993,5896,14280,4561753552
34,6,4,512,2095,40,8,10,0,50,1000000,1,0,7130633,0.0004,56.3005,5.43905e+08,,0.279753,5815,14261,4563629520
34,6,4,512,2095,40,8,10,0,50,1000000,1,0,7076149,0.0004,56.2720,5.39819e+08,,0.285221,5699,14265,4528651056
42,6,4,512,2095,40,8,10,0,50,1000000,1,0,7992067,0.0004,68.9486,6.09611e+08,,0.254876,4181,17569,5115326688
42,6,4,512,2095,40,8,10,0,50,1000000,1,0,8023914,0.0005,68.1689,6.12024e+08,,0.261031,4232,17620,5135507488
42,6,4,512,2095,40,8,10,0,50,1000000,1,0,8006675,0.0005,69.4852,6.10743e+08,,0.252902,4150,17599,5124801216
42,6,4,512,2095,40,8,10,0,50,1000000,1,0,8024310,0.0004,70.1359,6.12072e+08,,0.246835,4158,17607,5135916928
42,6,4,512,2095,40,8,10,0,50,1000000,1,0,7997307,0.0005,71.4341,6.10071e+08,,0.247944,4084,17601,5118757504
50,6,4,512,2095,40,8,10,0,50,1000000,1,0,8780404,0.0005,74.2406,6.69636e+08,,0.323878,3797,17924,5619507440
50,6,4,512,2095,40,8,10,0,50,1000000,1,0,8785125,0.0005,75.0184,6.69997e+08,,0.312937,3850,17992,5623088736
50,6,4,512,2095,40,8,10,0,50,1000000,1,0,8762504,0.0005,72.8407,6.68218e+08,,0.322782,3781,17541,5608525568
50,6,4,512,2095,40,8,10,0,50,1000000,1,0,8799704,0.0005,73.0727,6.71144e+08,,0.322882,3781,18247,5632250816
50,6,4,512,2095,40,8,10,0,50,1000000,1,0,8786770,0.0005,73.9532,6.70162e+08,,0.322996,3778,18140,5623926608
