thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,580900,0.0000,62.3955,4.43399e+07,,0.186256,840,840,371812912
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,584414,0.0000,61.1292,4.45931e+07,,0.182268,840,840,373957216
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,581912,0.0000,59.1358,4.44141e+07,,0.179483,840,840,372454144
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,581926,0.0000,60.4748,4.44163e+07,,0.18323,840,840,372463584
2,2,4,512,2095,40,8,10,0,50,1000000,1,0,584581,0.0000,60.5489,4.46201e+07,,0.180727,840,840,374162128
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1687908,0.0001,75.3855,1.28537e+08,,0.820976,1085,2520,1080244448
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1672575,0.0001,74.6064,1.27345e+08,,0.809234,1119,2520,1070384992
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1685691,0.0001,74.9678,1.28366e+08,,0.815271,1114,2520,1078874768
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1685131,0.0001,75.0041,1.2835e+08,,0.817415,1112,2520,1078600240
6,2,4,512,2095,40,8,10,0,50,1000000,1,0,1688881,0.0001,74.6573,1.28612e+08,,0.805272,1105,2520,1080756384
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3268180,0.0001,321.7749,2.46811e+08,,0.992784,225,5489,2091929040
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3312584,0.0001,303.9223,2.50062e+08,,0.993911,224,5312,2120023920
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3289756,0.0001,310.6499,2.48979e+08,,0.994182,227,5436,2105547248
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3298090,0.0001,307.3705,2.49094e+08,,0.993933,230,5355,2110664336
14,2,4,512,2095,40,8,10,0,50,1000000,1,0,3277582,0.0001,315.0162,2.47601e+08,,0.994273,227,5414,2097489200
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,3404595,0.0002,487.6455,2.56681e+08,,0.993734,172,7125,2179147088
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,3362375,0.0002,470.1740,2.5339e+08,,0.994011,174,7214,2152077216
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,3427351,0.0002,462.9112,2.58231e+08,,0.994111,174,7260,2193662784
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,3412305,0.0002,467.6315,2.57547e+08,,0.993938,174,7241,2183983856
22,2,4,512,2095,40,8,10,0,50,1000000,1,0,3432510,0.0002,464.5473,2.58916e+08,,0.993796,172,7217,2196778736
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,3399338,0.0003,520.8619,2.55502e+08,,0.992681,150,8419,2175634752
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,3391731,0.0003,531.1007,2.54714e+08,,0.992606,148,8396,2170924656
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,3350004,0.0003,553.2161,2.52355e+08,,0.99255,144,8156,2144070192
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,3356420,0.0003,527.1697,2.5259e+08,,0.992458,146,8279,2148269952
30,2,4,512,2095,40,8,10,0,50,1000000,1,0,3357282,0.0003,535.9623,2.52398e+08,,0.992129,150,8426,2148922848
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,3398413,0.0003,526.7894,2.55694e+08,,0.992374,140,9904,2175006864
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,3373265,0.0003,545.6632,2.53392e+08,,0.991979,138,9842,2159013984
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,3416174,0.0003,545.5220,2.56892e+08,,0.992581,138,9804,2186390544
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,3369156,0.0003,532.9402,2.53048e+08,,0.992304,138,9778,2156567056
38,2,4,512,2095,40,8,10,0,50,1000000,1,0,3432181,0.0003,552.8893,2.5734e+08,,0.992272,136,9647,2196715536
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,3459071,0.0004,636.8309,2.59031e+08,,0.99177,116,9890,2214039552
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,3449427,0.0004,619.5620,2.58748e+08,,0.990717,120,10186,2207794768
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,3471198,0.0004,619.3152,2.58917e+08,,0.99182,118,10074,2221580016
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,3478209,0.0005,705.4155,2.6072e+08,,0.992783,113,9522,2226299360
46,2,4,512,2095,40,8,10,0,50,1000000,1,0,3440241,0.0004,628.1869,2.5765e+08,,0.991691,116,9890,2201878608
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,3602546,0.0005,748.9391,2.67768e+08,,0.992219,106,10313,2305990000
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,3518808,0.0006,807.5950,2.62945e+08,,0.991987,101,9881,2252175616
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,3556239,0.0005,846.0678,2.65241e+08,,0.990878,102,9882,2276137744
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,3574530,0.0005,815.2946,2.65267e+08,,0.991324,102,10044,2287677024
54,2,4,512,2095,40,8,10,0,50,1000000,1,0,3566086,0.0005,734.2249,2.65615e+08,,0.991765,105,10313,2282402752
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1121517,0.0000,71.3205,8.55678e+07,,0.346507,1680,1680,717749408
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1129182,0.0000,72.6055,8.61588e+07,,0.361329,1672,1680,722711184
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1127506,0.0000,71.1678,8.60486e+07,,0.344354,1680,1680,721743360
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1127396,0.0000,71.2781,8.6018e+07,,0.349461,1679,1680,721556480
4,4,4,512,2095,40,8,10,0,50,1000000,1,0,1119995,0.0000,71.7067,8.54531e+07,,0.342635,1680,1680,716861072
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3300265,0.0001,162.2736,2.50313e+08,,0.993192,736,5040,2112196416
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3320496,0.0001,162.6370,2.51872e+08,,0.99284,735,5040,2124976768
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3308984,0.0001,172.2887,2.51021e+08,,0.99323,705,5040,2118060864
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3304910,0.0001,150.5351,2.50724e+08,,0.993437,778,5040,2115117632
12,4,4,512,2095,40,8,10,0,50,1000000,1,0,3320310,0.0001,163.3034,2.51657e+08,,0.993842,738,5040,2125115408
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,3828739,0.0002,392.0835,2.89718e+08,,0.994076,395,7394,2450477712
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,3733987,0.0002,403.3732,2.81459e+08,,0.994045,389,7226,2390170592
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,3712574,0.0002,407.2712,2.79961e+08,,0.993827,392,7202,2375980320
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,3744505,0.0002,398.4942,2.82885e+08,,0.993909,396,7287,2396355952
20,4,4,512,2095,40,8,10,0,50,1000000,1,0,3683655,0.0002,400.4154,2.78125e+08,,0.994068,391,7327,2357743136
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,3784234,0.0003,500.0932,2.85042e+08,,0.993767,321,8514,2421934736
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,3783151,0.0003,488.4562,2.85481e+08,,0.992598,322,8499,2421295584
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,3799577,0.0003,520.5395,2.85437e+08,,0.993776,323,8584,2431789248
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,3797262,0.0003,513.6305,2.85401e+08,,0.993913,320,8458,2430462704
28,4,4,512,2095,40,8,10,0,50,1000000,1,0,3781071,0.0003,521.9406,2.84407e+08,,0.993768,318,8401,2419801056
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,3756503,0.0003,591.9720,2.8233e+08,,0.992515,291,9874,2404284000
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,3780116,0.0003,551.7255,2.84157e+08,,0.989315,292,9918,2419486912
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,3768576,0.0003,584.5732,2.82952e+08,,0.990716,288,9698,2412291216
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,3750578,0.0003,553.6269,2.81617e+08,,0.9906,292,9886,2400450512
36,4,4,512,2095,40,8,10,0,50,1000000,1,0,3764435,0.0003,550.4227,2.82605e+08,,0.991206,296,9992,2409300928
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,3801235,0.0004,621.6942,2.8442e+08,,0.991786,252,10415,2433112256
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,3816821,0.0004,600.9004,2.86173e+08,,0.991836,256,10457,2442840624
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,3822744,0.0004,652.0267,2.8568e+08,,0.992046,244,9959,2446916848
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,3729879,0.0004,687.3530,2.80605e+08,,0.9881,251,10296,2387223168
44,4,4,512,2095,40,8,10,0,50,1000000,1,0,3819668,0.0004,608.1687,2.86627e+08,,0.991233,260,10614,2444803344
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,3824898,0.0005,695.8352,2.86138e+08,,0.991676,220,10556,2448105056
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,3883923,0.0005,781.9308,2.88589e+08,,0.991326,219,10503,2485962032
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,3769579,0.0005,719.0877,2.81959e+08,,0.991861,216,10348,2412758400
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,3821125,0.0005,683.7957,2.84483e+08,,0.991827,220,10516,2445829712
52,4,4,512,2095,40,8,10,0,50,1000000,1,0,3817861,0.0005,740.1379,2.85456e+08,,0.991965,220,10622,2443643568
10,6,4,512,2095,40,8,10,0,50,1000000,1,0,2771316,0.0001,152.9211,2.10683e+08,,0.972831,1500,4200,1773379248
10,6,4,512,2095,40,8,10,0,50,1000000,1,0,2760815,0.0001,151.9852,2.09766e+08,,0.975904,1479,4200,1766908736
10,6,4,512,2095,40,8,10,0,50,1000000,1,0,2775699,0.0001,166.2133,2.1095e+08,,0.974637,1443,4200,1776621488
10,6,4,512,2095,40,8,10,0,50,1000000,1,0,2749306,0.0001,156.8591,2.08893e+08,,0.966242,1436,4200,1759740992
10,6,4,512,2095,40,8,10,0,50,1000000,1,0,2769170,0.0001,153.7244,2.09786e+08,,0.978504,1499,4200,1772358464
18,6,4,512,2095,40,8,10,0,50,1000000,1,0,3817980,0.0002,365.8943,2.88192e+08,,0.993124,638,7078,2443749936
18,6,4,512,2095,40,8,10,0,50,1000000,1,0,3811378,0.0002,355.0975,2.8869e+08,,0.993845,644,7012,2439533104
18,6,4,512,2095,40,8,10,0,50,1000000,1,0,3810611,0.0002,358.4307,2.87667e+08,,0.993656,642,7108,2438850688
18,6,4,512,2095,40,8,10,0,50,1000000,1,0,3834244,0.0002,362.8567,2.90184e+08,,0.99416,652,7191,2453933680
18,6,4,512,2095,40,8,10,0,50,1000000,1,0,3826125,0.0002,369.4404,2.89186e+08,,0.993727,649,6993,2448988128
26,6,4,512,2095,40,8,10,0,50,1000000,1,0,4109035,0.0003,483.9579,3.10068e+08,,0.993833,536,8698,2629940992
26,6,4,512,2095,40,8,10,0,50,1000000,1,0,4163397,0.0003,502.8665,3.14115e+08,,0.99296,540,8712,2664748720
