thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
8,8,2,512,2095,40,8,10,0,50,1000000,1,0,2129304,0.0001,49.0931,1.62556e+08,,0.0422508,3358,3358,1362723712
8,8,2,512,2095,40,8,10,0,50,1000000,1,0,2133948,0.0001,48.7577,1.62893e+08,,0.0427482,3360,3360,1365577104
8,8,2,512,2095,40,8,10,0,50,1000000,1,0,2141431,0.0001,49.2236,1.6349e+08,,0.0429377,3352,3352,1370617376
8,8,2,512,2095,40,8,10,0,50,1000000,1,0,2139933,0.0001,48.4517,1.63362e+08,,0.0427742,3360,3360,1369464592
8,8,2,512,2095,40,8,10,0,50,1000000,1,0,2150178,0.0001,49.1158,1.64185e+08,,0.0430315,3360,3360,1376315840
24,8,2,512,2095,40,8,10,0,50,1000000,1,0,6226073,0.0003,59.3664,4.7491e+08,,0.11677,5959,10080,3984975920
24,8,2,512,2095,40,8,10,0,50,1000000,1,0,6240423,0.0003,59.8146,4.76176e+08,,0.117405,5988,10080,3993844928
24,8,2,512,2095,40,8,10,0,50,1000000,1,0,6202197,0.0003,58.5426,4.73247e+08,,0.116297,5935,10080,3969166800
24,8,2,512,2095,40,8,10,0,50,1000000,1,0,6216173,0.0003,60.1906,4.74429e+08,,0.117086,6099,10080,3978255888
24,8,2,512,2095,40,8,10,0,50,1000000,1,0,6229008,0.0003,60.0742,4.75318e+08,,0.117452,5973,10080,3986711216
56,8,2,512,2095,40,8,10,0,50,1000000,1,0,14108863,0.0006,71.9879,1.0758e+09,,0.273165,6447,23499,9030636400
56,8,2,512,2095,40,8,10,0,50,1000000,1,0,14101709,0.0006,71.5908,1.07525e+09,,0.271467,6458,23493,9026131264
56,8,2,512,2095,40,8,10,0,50,1000000,1,0,14121673,0.0006,71.8958,1.07675e+09,,0.274717,6390,23496,9038166304
56,8,2,512,2095,40,8,10,0,50,1000000,1,0,14142858,0.0006,71.8081,1.07842e+09,,0.2753,6433,23506,9052040928
56,8,2,512,2095,40,8,10,0,50,1000000,1,0,14093761,0.0006,71.8492,1.07456e+09,,0.273503,6374,23495,9020110160
88,8,2,512,2095,40,8,10,0,50,1000000,1,0,18910147,0.0010,77.2502,1.44085e+09,,0.382986,5522,36303,12102904976
88,8,2,512,2095,40,8,10,0,50,1000000,1,0,18946046,0.0010,76.7238,1.44397e+09,,0.382073,5533,36287,12126615792
88,8,2,512,2095,40,8,10,0,50,1000000,1,0,18971121,0.0010,76.8746,1.44568e+09,,0.381284,5585,36325,12141416688
88,8,2,512,2095,40,8,10,0,50,1000000,1,0,19054524,0.0010,77.2073,1.45205e+09,,0.386606,5584,36387,12195823296
88,8,2,512,2095,40,8,10,0,50,1000000,1,0,19012154,0.0010,77.4505,1.44954e+09,,0.384623,5546,36356,12168596944
120,8,2,512,2095,40,8,10,0,50,1000000,1,0,23762895,0.0013,81.1223,1.81187e+09,,0.429045,5155,46570,15208372320
120,8,2,512,2095,40,8,10,0,50,1000000,1,0,23520540,0.0013,80.5450,1.79251e+09,,0.423755,5008,46307,15053868832
120,8,2,512,2095,40,8,10,0,50,1000000,1,0,23788728,0.0013,80.2234,1.81291e+09,,0.428321,5201,46632,15225619296
120,8,2,512,2095,40,8,10,0,50,1000000,1,0,23780511,0.0013,80.0938,1.81237e+09,,0.427956,5274,46653,15220214560
120,8,2,512,2095,40,8,10,0,50,1000000,1,0,23800336,0.0013,81.3650,1.81323e+09,,0.428481,5197,46628,15232617712
152,8,2,512,2095,40,8,10,0,50,1000000,1,0,26877317,0.0017,83.8822,2.0478e+09,,0.507366,4935,51578,17202552000
152,8,2,512,2095,40,8,10,0,50,1000000,1,0,26978831,0.0017,83.4448,2.05587e+09,,0.506181,5060,52734,17267339520
152,8,2,512,2095,40,8,10,0,50,1000000,1,0,26962101,0.0017,84.2246,2.05538e+09,,0.507809,4943,52460,17256480448
152,8,2,512,2095,40,8,10,0,50,1000000,1,0,26954806,0.0017,82.5239,2.05359e+09,,0.50917,4983,52520,17251235120
152,8,2,512,2095,40,8,10,0,50,1000000,1,0,26966925,0.0017,81.6019,2.05494e+09,,0.507313,5015,52879,17259922368
184,8,2,512,2095,40,8,10,0,50,1000000,1,0,30443466,0.0021,90.5697,2.31962e+09,,0.616427,4682,50405,19484653648
184,8,2,512,2095,40,8,10,0,50,1000000,1,0,30292520,0.0021,92.5504,2.30816e+09,,0.621628,4476,50263,19388273232
184,8,2,512,2095,40,8,10,0,50,1000000,1,0,30257529,0.0021,92.8179,2.30497e+09,,0.614396,4615,50171,19366112576
184,8,2,512,2095,40,8,10,0,50,1000000,1,0,30339671,0.0021,93.3904,2.31252e+09,,0.619219,4647,50778,19418686240
184,8,2,512,2095,40,8,10,0,50,1000000,1,0,30497395,0.0021,90.3961,2.32424e+09,,0.618484,4545,49464,19518979936
216,8,2,512,2095,40,8,10,0,50,1000000,1,0,33749565,0.0025,98.6113,2.57025e+09,,0.681826,3533,51844,21600747152
216,8,2,512,2095,40,8,10,0,50,1000000,1,0,33541212,0.0024,96.0350,2.55482e+09,,0.679255,3567,52391,21467140272
216,8,2,512,2095,40,8,10,0,50,1000000,1,0,33764127,0.0025,99.7348,2.56934e+09,,0.700495,3426,50137,21609465632
