thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
8,8,2,512,2095,40,8,10,0,0,1000000,1,0,2718844,0.0000,44.1719,4.15174e+08,,0.0997732,6969,7034,3480218880
8,8,2,512,2095,40,8,10,0,0,1000000,1,0,2718225,0.0000,42.3658,4.15076e+08,,0.0996511,7009,7074,3479426048
8,8,2,512,2095,40,8,10,0,0,1000000,1,0,2715667,0.0000,41.5731,4.14678e+08,,0.0996004,7048,7107,3476151904
8,8,2,512,2095,40,8,10,0,0,1000000,1,0,2715876,0.0000,47.7584,4.14711e+08,,0.100624,7080,7098,3476420560
8,8,2,512,2095,40,8,10,0,0,1000000,1,0,2712277,0.0000,44.0361,4.14158e+08,,0.0995397,7027,7067,3471812976
24,8,2,512,2095,40,8,10,0,0,1000000,1,0,7872129,0.0001,51.7555,1.20181e+09,,0.285325,12883,20136,10076603104
24,8,2,512,2095,40,8,10,0,0,1000000,1,0,7906552,0.0001,51.0522,1.20707e+09,,0.285615,12915,20140,10120664480
24,8,2,512,2095,40,8,10,0,0,1000000,1,0,7920138,0.0001,51.7284,1.20915e+09,,0.28671,12940,20150,10138053184
24,8,2,512,2095,40,8,10,0,0,1000000,1,0,7905811,0.0001,52.5660,1.20699e+09,,0.28739,12986,20140,10119714576
24,8,2,512,2095,40,8,10,0,0,1000000,1,0,7859684,0.0001,52.8379,1.19992e+09,,0.28592,13013,20131,10060672256
56,8,2,512,2095,40,8,10,0,0,1000000,1,0,17428484,0.0002,57.0348,2.65886e+09,,0.633812,13735,46912,22309110192
56,8,2,512,2095,40,8,10,0,0,1000000,1,0,17390650,0.0002,57.2045,2.65303e+09,,0.632327,13811,46912,22260682320
56,8,2,512,2095,40,8,10,0,0,1000000,1,0,17400672,0.0002,57.4728,2.65451e+09,,0.633403,13693,46877,22273510896
56,8,2,512,2095,40,8,10,0,0,1000000,1,0,17398677,0.0002,56.9610,2.65428e+09,,0.630885,13758,46926,22270955552
56,8,2,512,2095,40,8,10,0,0,1000000,1,0,17399793,0.0002,57.5803,2.65443e+09,,0.6331,13758,46930,22272386896
88,8,2,512,2095,40,8,10,0,0,1000000,1,0,23954453,0.0004,61.1093,3.65195e+09,,0.768527,11478,71004,30662696144
88,8,2,512,2095,40,8,10,0,0,1000000,1,0,23994541,0.0004,60.5986,3.65725e+09,,0.769511,11529,71202,30714013552
88,8,2,512,2095,40,8,10,0,0,1000000,1,0,23906251,0.0004,60.5800,3.64399e+09,,0.766348,11517,70951,30600997440
88,8,2,512,2095,40,8,10,0,0,1000000,1,0,24052052,0.0004,60.5517,3.66655e+09,,0.770543,11578,71352,30787630624
88,8,2,512,2095,40,8,10,0,0,1000000,1,0,24028611,0.0004,60.9561,3.6637e+09,,0.770431,11558,71314,30757625696
120,8,2,512,2095,40,8,10,0,0,1000000,1,0,28068229,0.0004,48.0918,4.27867e+09,,0.952986,9365,80163,35928455312
120,8,2,512,2095,40,8,10,0,0,1000000,1,0,28262354,0.0004,47.8882,4.30813e+09,,0.953528,9614,81274,36176951344
120,8,2,512,2095,40,8,10,0,0,1000000,1,0,28274990,0.0004,48.5170,4.31204e+09,,0.954176,9386,80316,36193110288
120,8,2,512,2095,40,8,10,0,0,1000000,1,0,28282290,0.0004,47.6897,4.31151e+09,,0.952014,9612,81565,36202472736
120,8,2,512,2095,40,8,10,0,0,1000000,1,0,28184921,0.0004,47.8428,4.29637e+09,,0.951365,9706,81288,36077833904
152,8,2,512,2095,40,8,10,0,0,1000000,1,0,30050187,0.0005,55.6568,4.57845e+09,,0.981049,6468,90173,38465505440
152,8,2,512,2095,40,8,10,0,0,1000000,1,0,30069961,0.0005,56.0636,4.58412e+09,,0.983322,6371,90198,38490823536
152,8,2,512,2095,40,8,10,0,0,1000000,1,0,30106765,0.0005,55.5314,4.58985e+09,,0.983318,6392,90089,38537925312
152,8,2,512,2095,40,8,10,0,0,1000000,1,0,30051971,0.0005,55.8357,4.58102e+09,,0.983503,6436,90308,38467794096
152,8,2,512,2095,40,8,10,0,0,1000000,1,0,30047102,0.0005,56.0549,4.5814e+09,,0.982883,6309,90010,38461559344
184,8,2,512,2095,40,8,10,0,0,1000000,1,0,30318062,0.0005,67.2030,4.61247e+09,,0.977924,4181,94281,38808449632
184,8,2,512,2095,40,8,10,0,0,1000000,1,0,30479696,0.0005,69.4084,4.64383e+09,,0.976843,4199,94326,39015344864
