thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
8,,,,2095,40,8,10,0,0,1000000,1,0,2718080,0.0001,,,,,,,
8,,,,2095,40,8,10,0,0,1000000,1,0,2766656,0.0000,,,,,,,
8,,,,2095,40,8,10,0,0,1000000,1,0,2777727,0.0000,,,,,,,
8,,,,2095,40,8,10,0,0,1000000,1,0,2818052,0.0000,,,,,,,
8,,,,2095,40,8,10,0,0,1000000,1,0,2781468,0.0000,,,,,,,
16,,,,2095,40,8,10,0,0,1000000,1,0,5239437,0.0001,,,,,,,
16,,,,2095,40,8,10,0,0,1000000,1,0,5306200,0.0001,,,,,,,
16,,,,2095,40,8,10,0,0,1000000,1,0,5281772,0.0001,,,,,,,
16,,,,2095,40,8,10,0,0,1000000,1,0,5372427,0.0001,,,,,,,
16,,,,2095,40,8,10,0,0,1000000,1,0,5323579,0.0001,,,,,,,
32,,,,2095,40,8,10,0,0,1000000,1,0,10688711,0.0002,,,,,,,
32,,,,2095,40,8,10,0,0,1000000,1,0,10689287,0.0002,,,,,,,
32,,,,2095,40,8,10,0,0,1000000,1,0,10640934,0.0002,,,,,,,
32,,,,2095,40,8,10,0,0,1000000,1,0,10667304,0.0002,,,,,,,
32,,,,2095,40,8,10,0,0,1000000,1,0,10697235,0.0002,,,,,,,
64,,,,2095,40,8,10,0,0,1000000,1,0,20007521,0.0003,,,,,,,
64,,,,2095,40,8,10,0,0,1000000,1,0,20239256,0.0003,,,,,,,
64,,,,2095,40,8,10,0,0,1000000,1,0,20265788,0.0003,,,,,,,
64,,,,2095,40,8,10,0,0,1000000,1,0,20349477,0.0003,,,,,,,
64,,,,2095,40,8,10,0,0,1000000,1,0,20214006,0.0003,,,,,,,
96,,,,2095,40,8,10,0,0,1000000,1,0,26635249,0.0006,,,,,,,
96,,,,2095,40,8,10,0,0,1000000,1,0,26454231,0.0006,,,,,,,
96,,,,2095,40,8,10,0,0,1000000,1,0,26593617,0.0006,,,,,,,
96,,,,2095,40,8,10,0,0,1000000,1,0,26670813,0.0005,,,,,,,
96,,,,2095,40,8,10,0,0,1000000,1,0,26778036,0.0006,,,,,,,
128,,,,2095,40,8,10,0,0,1000000,1,0,31888721,0.0006,,,,,,,
128,,,,2095,40,8,10,0,0,1000000,1,0,31851771,0.0005,,,,,,,
128,,,,2095,40,8,10,0,0,1000000,1,0,32032833,0.0005,,,,,,,
128,,,,2095,40,8,10,0,0,1000000,1,0,32039422,0.0005,,,,,,,
128,,,,2095,40,8,10,0,0,1000000,1,0,31929658,0.0005,,,,,,,
160,,,,2095,40,8,10,0,0,1000000,1,0,35571550,0.0008,,,,,,,
160,,,,2095,40,8,10,0,0,1000000,1,0,35903653,0.0007,,,,,,,
160,,,,2095,40,8,10,0,0,1000000,1,0,35844004,0.0007,,,,,,,
160,,,,2095,40,8,10,0,0,1000000,1,0,35708445,0.0007,,,,,,,
160,,,,2095,40,8,10,0,0,1000000,1,0,35863623,0.0007,,,,,,,
192,,,,2095,40,8,10,0,0,1000000,1,0,38991715,0.0009,,,,,,,
192,,,,2095,40,8,10,0,0,1000000,1,0,39282515,0.0009,,,,,,,
192,,,,2095,40,8,10,0,0,1000000,1,0,39297329,0.0009,,,,,,,
192,,,,2095,40,8,10,0,0,1000000,1,0,39295871,0.0008,,,,,,,
192,,,,2095,40,8,10,0,0,1000000,1,0,39353817,0.0009,,,,,,,
224,,,,2095,40,8,10,0,0,1000000,1,0,43033225,0.0009,,,,,,,
224,,,,2095,40,8,10,0,0,1000000,1,0,42910587,0.0010,,,,,,,
224,,,,2095,40,8,10,0,0,1000000,1,0,43026004,0.0020,,,,,,,
224,,,,2095,40,8,10,0,0,1000000,1,0,42981607,0.0015,,,,,,,
224,,,,2095,40,8,10,0,0,1000000,1,0,42995202,0.0018,,,,,,,
