thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
8,,,,2095,40,8,10,0,50,1000000,1,0,2136931,0.0001,,,,,,,
8,,,,2095,40,8,10,0,50,1000000,1,0,2144423,0.0001,,,,,,,
8,,,,2095,40,8,10,0,50,1000000,1,0,2142557,0.0001,,,,,,,
8,,,,2095,40,8,10,0,50,1000000,1,0,2116747,0.0001,,,,,,,
8,,,,2095,40,8,10,0,50,1000000,1,0,2139845,0.0001,,,,,,,
16,,,,2095,40,8,10,0,50,1000000,1,0,4164462,0.0002,,,,,,,
16,,,,2095,40,8,10,0,50,1000000,1,0,4158942,0.0002,,,,,,,
16,,,,2095,40,8,10,0,50,1000000,1,0,4161356,0.0002,,,,,,,
16,,,,2095,40,8,10,0,50,1000000,1,0,4173401,0.0002,,,,,,,
16,,,,2095,40,8,10,0,50,1000000,1,0,4156428,0.0002,,,,,,,
32,,,,2095,40,8,10,0,50,1000000,1,0,8215321,0.0004,,,,,,,
32,,,,2095,40,8,10,0,50,1000000,1,0,8233285,0.0004,,,,,,,
32,,,,2095,40,8,10,0,50,1000000,1,0,8270299,0.0004,,,,,,,
32,,,,2095,40,8,10,0,50,1000000,1,0,8245591,0.0004,,,,,,,
32,,,,2095,40,8,10,0,50,1000000,1,0,8203224,0.0004,,,,,,,
64,,,,2095,40,8,10,0,50,1000000,1,0,16354009,0.0008,,,,,,,
64,,,,2095,40,8,10,0,50,1000000,1,0,16321038,0.0008,,,,,,,
64,,,,2095,40,8,10,0,50,1000000,1,0,16281111,0.0008,,,,,,,
64,,,,2095,40,8,10,0,50,1000000,1,0,16306113,0.0008,,,,,,,
64,,,,2095,40,8,10,0,50,1000000,1,0,16253191,0.0008,,,,,,,
96,,,,2095,40,8,10,0,50,1000000,1,0,22147989,0.0012,,,,,,,
96,,,,2095,40,8,10,0,50,1000000,1,0,21916520,0.0012,,,,,,,
96,,,,2095,40,8,10,0,50,1000000,1,0,21905624,0.0012,,,,,,,
96,,,,2095,40,8,10,0,50,1000000,1,0,21996195,0.0012,,,,,,,
96,,,,2095,40,8,10,0,50,1000000,1,0,22039571,0.0012,,,,,,,
128,,,,2095,40,8,10,0,50,1000000,1,0,26655643,0.0015,,,,,,,
128,,,,2095,40,8,10,0,50,1000000,1,0,26528451,0.0015,,,,,,,
128,,,,2095,40,8,10,0,50,1000000,1,0,26686090,0.0015,,,,,,,
128,,,,2095,40,8,10,0,50,1000000,1,0,26783211,0.0015,,,,,,,
128,,,,2095,40,8,10,0,50,1000000,1,0,26730280,0.0015,,,,,,,
160,,,,2095,40,8,10,0,50,1000000,1,0,30017073,0.0020,,,,,,,
160,,,,2095,40,8,10,0,50,1000000,1,0,29915101,0.0020,,,,,,,
160,,,,2095,40,8,10,0,50,1000000,1,0,29990157,0.0020,,,,,,,
160,,,,2095,40,8,10,0,50,1000000,1,0,30008432,0.0020,,,,,,,
160,,,,2095,40,8,10,0,50,1000000,1,0,29970626,0.0020,,,,,,,
192,,,,2095,40,8,10,0,50,1000000,1,0,33310499,0.0024,,,,,,,
192,,,,2095,40,8,10,0,50,1000000,1,0,33268410,0.0024,,,,,,,
192,,,,2095,40,8,10,0,50,1000000,1,0,33284203,0.0024,,,,,,,
192,,,,2095,40,8,10,0,50,1000000,1,0,33316547,0.0024,,,,,,,
192,,,,2095,40,8,10,0,50,1000000,1,0,33397817,0.0024,,,,,,,
224,,,,2095,40,8,10,0,50,1000000,1,0,36482410,0.0027,,,,,,,
224,,,,2095,40,8,10,0,50,1000000,1,0,35984687,0.0038,,,,,,,
224,,,,2095,40,8,10,0,50,1000000,1,0,36518829,0.0027,,,,,,,
224,,,,2095,40,8,10,0,50,1000000,1,0,36416754,0.0029,,,,,,,
224,,,,2095,40,8,10,0,50,1000000,1,0,36376673,0.0027,,,,,,,
