thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
2,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,82804,0.0000,147.5881,1.26297e+07,,0.980878,1471,5123,106070848
2,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,86524,0.0000,145.6945,1.31948e+07,,0.980623,1455,5076,110832656
2,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,76112,0.0000,147.1744,1.16165e+07,,0.98367,1477,5165,97505920
2,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,65339,0.0000,123.6627,9.97504e+06,,0.987418,1295,4686,83708704
2,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,102995,0.0000,190.8482,1.56957e+07,,0.960162,1446,4975,131913792
6,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,188488,0.0000,199.8133,2.87394e+07,,0.982794,1398,13873,241485968
6,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,228124,0.0000,201.5880,3.48186e+07,,0.982712,1376,13267,292209664
6,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,214425,0.0000,198.0288,3.27075e+07,,0.979727,1386,13586,274680560
6,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,191555,0.0000,197.2521,2.92172e+07,,0.986033,1396,13884,245411440
6,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,191332,0.0000,202.9419,2.91958e+07,,0.985321,1396,13854,245124752
14,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,541296,0.0000,242.4783,8.25807e+07,,0.988118,1167,25501,693264352
14,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,544527,0.0000,250.3061,8.30444e+07,,0.988647,1149,25231,697395840
14,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,540375,0.0000,239.4796,8.23459e+07,,0.985568,1163,25278,692081504
14,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,515037,0.0000,231.8540,7.85828e+07,,0.985223,1176,25586,659654352
14,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,551656,0.0000,232.6244,8.40562e+07,,0.986796,1145,24899,706515376
22,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1306314,0.0000,504.2847,1.97832e+08,,0.991376,601,21222,1672415168
22,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1072940,0.0000,455.7848,1.62302e+08,,0.993588,789,27199,1373792016
22,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1034861,0.0000,387.0260,1.57382e+08,,0.991354,790,27499,1325057520
22,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1412218,0.0000,498.7223,2.14929e+08,,0.994974,502,17769,1807915568
22,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1374579,0.0000,462.3059,2.08385e+08,,0.995655,529,18517,1759749888
30,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1331645,0.0000,613.5868,2.02048e+08,,0.991795,577,28467,1704954384
30,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1421009,0.0000,562.8956,2.14398e+08,,0.990783,524,25241,1819288464
30,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1299277,0.0000,516.8979,1.97184e+08,,0.992305,613,30210,1663550832
30,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1257748,0.0000,476.0231,1.91334e+08,,0.992011,653,31974,1610421680
30,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1294776,0.0000,504.3792,1.96365e+08,,0.990899,633,31057,1657803184
38,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1662758,0.0001,951.1927,2.50592e+08,,0.994399,247,16498,2128585584
38,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1664648,0.0001,896.8022,2.53314e+08,,0.989212,325,19607,2131054400
38,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1639195,0.0001,846.4550,2.46131e+08,,0.989383,371,22574,2098522240
38,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1684030,0.0001,974.0820,2.56276e+08,,0.992575,307,19565,2155861408
38,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1629784,0.0001,856.0944,2.44873e+08,,0.991763,362,22844,2086479120
46,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1848134,0.0001,1340.8566,2.72694e+08,,0.993248,219,16564,2365865392
46,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1845167,0.0001,1342.5123,2.74343e+08,,0.991228,231,16577,2362068432
46,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1746974,0.0001,1241.9942,2.62735e+08,,0.990683,278,20437,2236443648
46,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1888468,0.0001,1413.6740,2.79974e+08,,0.992386,207,13765,2417448688
46,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1691338,0.0001,1118.2995,2.53702e+08,,0.99242,311,22855,2165269776
54,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1828649,0.0001,1595.8635,2.67875e+08,,0.992294,229,19845,2340979168
54,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1937912,0.0001,1666.7986,2.84777e+08,,0.991667,180,14881,2480755008
54,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1886954,0.0001,1375.7698,2.7987e+08,,0.988271,182,15352,2415535920
54,2,4,512,2095,0.01,8,10,0,0,1000000,1,0,1847764,0.0001,1528.3048,2.78827e+08,,0.986291,189,15676,2365378288
