thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
2,,,,2095,0.01,8,10,0,0,1000000,1,0,659345,0.0000,,,,,,,
2,,,,2095,0.01,8,10,0,0,1000000,1,0,667078,0.0000,,,,,,,
2,,,,2095,0.01,8,10,0,0,1000000,1,0,666678,0.0000,,,,,,,
2,,,,2095,0.01,8,10,0,0,1000000,1,0,661410,0.0000,,,,,,,
2,,,,2095,0.01,8,10,0,0,1000000,1,0,657375,0.0000,,,,,,,
4,,,,2095,0.01,8,10,0,0,1000000,1,0,1250401,0.0000,,,,,,,
4,,,,2095,0.01,8,10,0,0,1000000,1,0,1244338,0.0000,,,,,,,
4,,,,2095,0.01,8,10,0,0,1000000,1,0,1247926,0.0000,,,,,,,
4,,,,2095,0.01,8,10,0,0,1000000,1,0,1242337,0.0000,,,,,,,
4,,,,2095,0.01,8,10,0,0,1000000,1,0,1250987,0.0000,,,,,,,
8,,,,2095,0.01,8,10,0,0,1000000,1,0,2484642,0.0000,,,,,,,
8,,,,2095,0.01,8,10,0,0,1000000,1,0,2501684,0.0000,,,,,,,
8,,,,2095,0.01,8,10,0,0,1000000,1,0,2501151,0.0000,,,,,,,
8,,,,2095,0.01,8,10,0,0,1000000,1,0,2502775,0.0000,,,,,,,
8,,,,2095,0.01,8,10,0,0,1000000,1,0,2486788,0.0000,,,,,,,
16,,,,2095,0.01,8,10,0,0,1000000,1,0,4710659,0.0001,,,,,,,
16,,,,2095,0.01,8,10,0,0,1000000,1,0,4690926,0.0001,,,,,,,
16,,,,2095,0.01,8,10,0,0,1000000,1,0,4651172,0.0001,,,,,,,
16,,,,2095,0.01,8,10,0,0,1000000,1,0,4657653,0.0001,,,,,,,
16,,,,2095,0.01,8,10,0,0,1000000,1,0,4664474,0.0001,,,,,,,
24,,,,2095,0.01,8,10,0,0,1000000,1,0,6337172,0.0001,,,,,,,
24,,,,2095,0.01,8,10,0,0,1000000,1,0,6315836,0.0001,,,,,,,
24,,,,2095,0.01,8,10,0,0,1000000,1,0,6310354,0.0001,,,,,,,
24,,,,2095,0.01,8,10,0,0,1000000,1,0,6317583,0.0001,,,,,,,
24,,,,2095,0.01,8,10,0,0,1000000,1,0,6343786,0.0001,,,,,,,
32,,,,2095,0.01,8,10,0,0,1000000,1,0,7488828,0.0001,,,,,,,
32,,,,2095,0.01,8,10,0,0,1000000,1,0,7502009,0.0001,,,,,,,
32,,,,2095,0.01,8,10,0,0,1000000,1,0,7492744,0.0001,,,,,,,
32,,,,2095,0.01,8,10,0,0,1000000,1,0,7512516,0.0001,,,,,,,
32,,,,2095,0.01,8,10,0,0,1000000,1,0,7523551,0.0001,,,,,,,
40,,,,2095,0.01,8,10,0,0,1000000,1,0,8493136,0.0001,,,,,,,
40,,,,2095,0.01,8,10,0,0,1000000,1,0,8481270,0.0001,,,,,,,
40,,,,2095,0.01,8,10,0,0,1000000,1,0,8493261,0.0001,,,,,,,
40,,,,2095,0.01,8,10,0,0,1000000,1,0,8492627,0.0001,,,,,,,
40,,,,2095,0.01,8,10,0,0,1000000,1,0,8409678,0.0001,,,,,,,
48,,,,2095,0.01,8,10,0,0,1000000,1,0,9399909,0.0001,,,,,,,
48,,,,2095,0.01,8,10,0,0,1000000,1,0,9328518,0.0002,,,,,,,
48,,,,2095,0.01,8,10,0,0,1000000,1,0,9361714,0.0002,,,,,,,
48,,,,2095,0.01,8,10,0,0,1000000,1,0,9372502,0.0002,,,,,,,
48,,,,2095,0.01,8,10,0,0,1000000,1,0,9383364,0.0001,,,,,,,
56,,,,2095,0.01,8,10,0,0,1000000,1,0,10151199,0.0002,,,,,,,
56,,,,2095,0.01,8,10,0,0,1000000,1,0,10194059,0.0002,,,,,,,
56,,,,2095,0.01,8,10,0,0,1000000,1,0,10178257,0.0002,,,,,,,
56,,,,2095,0.01,8,10,0,0,1000000,1,0,10190488,0.0002,,,,,,,
56,,,,2095,0.01,8,10,0,0,1000000,1,0,10188100,0.0002,,,,,,,
