thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
2,2,4,512,2095,1,8,10,0,0,1000000,1,0,605615,0.0000,2.0280,9.25082e+07,,0.204164,16564,16600,775450528
2,2,4,512,2095,1,8,10,0,0,1000000,1,0,612374,0.0000,1.8385,9.35408e+07,,0.204039,16700,16724,784103312
2,2,4,512,2095,1,8,10,0,0,1000000,1,0,614268,0.0000,1.8213,9.3831e+07,,0.20466,16709,16724,786527584
2,2,4,512,2095,1,8,10,0,0,1000000,1,0,609956,0.0000,1.8223,9.31716e+07,,0.203938,16709,16722,781008288
2,2,4,512,2095,1,8,10,0,0,1000000,1,0,609195,0.0000,1.8176,9.30559e+07,,0.203968,16710,16724,780034256
6,2,4,512,2095,1,8,10,0,0,1000000,1,0,1734596,0.0000,1.9683,2.64957e+08,,0.502767,33370,50154,2221076560
6,2,4,512,2095,1,8,10,0,0,1000000,1,0,1733527,0.0000,1.9760,2.64811e+08,,0.501778,33347,50154,2219708128
6,2,4,512,2095,1,8,10,0,0,1000000,1,0,1733660,0.0000,1.9768,2.64814e+08,,0.50175,33343,50148,2219877136
6,2,4,512,2095,1,8,10,0,0,1000000,1,0,1728615,0.0000,1.9838,2.64062e+08,,0.502656,33353,50154,2213420848
6,2,4,512,2095,1,8,10,0,0,1000000,1,0,1740467,0.0000,1.9706,2.65871e+08,,0.501357,33336,50154,2228591424
14,2,4,512,2095,1,8,10,0,0,1000000,1,0,3777820,0.0000,1.9974,5.77059e+08,,0.786138,34552,117012,4837459824
14,2,4,512,2095,1,8,10,0,0,1000000,1,0,3778332,0.0000,1.9950,5.77123e+08,,0.783912,34418,117012,4838115840
14,2,4,512,2095,1,8,10,0,0,1000000,1,0,3801444,0.0000,1.9885,5.8066e+08,,0.783034,34407,117026,4867698944
14,2,4,512,2095,1,8,10,0,0,1000000,1,0,3779915,0.0000,2.0211,5.77369e+08,,0.785555,34433,116953,4840140832
14,2,4,512,2095,1,8,10,0,0,1000000,1,0,3740324,0.0000,1.9922,5.71314e+08,,0.780934,34430,116984,4789464960
22,2,4,512,2095,1,8,10,0,0,1000000,1,0,5214144,0.0001,1.9678,7.96532e+08,,0.878501,38560,183788,6677015232
22,2,4,512,2095,1,8,10,0,0,1000000,1,0,5195839,0.0001,2.2000,7.93742e+08,,0.879577,37862,182981,6653572704
22,2,4,512,2095,1,8,10,0,0,1000000,1,0,5228243,0.0001,1.9869,7.9869e+08,,0.880889,38005,183810,6695063280
22,2,4,512,2095,1,8,10,0,0,1000000,1,0,5217578,0.0001,1.9614,7.97066e+08,,0.879645,38634,183810,6681411056
22,2,4,512,2095,1,8,10,0,0,1000000,1,0,5208240,0.0001,1.9716,7.95634e+08,,0.880665,38426,183832,6669458896
30,2,4,512,2095,1,8,10,0,0,1000000,1,0,5923208,0.0001,12.8770,9.047e+08,,0.995106,5848,250408,7585679008
30,2,4,512,2095,1,8,10,0,0,1000000,1,0,5921509,0.0001,13.1616,9.04447e+08,,0.994674,5802,250289,7583503568
30,2,4,512,2095,1,8,10,0,0,1000000,1,0,5929225,0.0001,13.0393,9.05597e+08,,0.993235,5803,250333,7593381424
30,2,4,512,2095,1,8,10,0,0,1000000,1,0,5922209,0.0001,13.2065,9.04538e+08,,0.994706,5857,250410,7584400288
30,2,4,512,2095,1,8,10,0,0,1000000,1,0,5920767,0.0001,12.8760,9.04314e+08,,0.994755,5842,250350,7582553856
38,2,4,512,2095,1,8,10,0,0,1000000,1,0,5734848,0.0001,16.1403,8.76032e+08,,0.994341,5447,315941,7345627744
38,2,4,512,2095,1,8,10,0,0,1000000,1,0,5732046,0.0001,16.1222,8.75607e+08,,0.994606,5418,315966,7342040256
38,2,4,512,2095,1,8,10,0,0,1000000,1,0,5742079,0.0001,16.2399,8.77198e+08,,0.994609,5434,315824,7354882592
38,2,4,512,2095,1,8,10,0,0,1000000,1,0,5748427,0.0001,16.2635,8.78108e+08,,0.994722,5447,315885,7363007744
38,2,4,512,2095,1,8,10,0,0,1000000,1,0,5756524,0.0001,15.9288,8.79375e+08,,0.994602,5421,316084,7373375712
46,2,4,512,2095,1,8,10,0,0,1000000,1,0,5339843,0.0001,17.0677,8.15855e+08,,0.990013,5310,379304,6841036944
46,2,4,512,2095,1,8,10,0,0,1000000,1,0,5310673,0.0001,17.0715,8.11358e+08,,0.994198,5302,378817,6803692368
46,2,4,512,2095,1,8,10,0,0,1000000,1,0,5346809,0.0001,17.3590,8.1694e+08,,0.993597,5294,379267,6849953520
46,2,4,512,2095,1,8,10,0,0,1000000,1,0,5319623,0.0001,17.2161,8.12748e+08,,0.994108,5292,378751,6815147200
46,2,4,512,2095,1,8,10,0,0,1000000,1,0,5319915,0.0001,17.0184,8.12798e+08,,0.994276,5310,379132,6815527568
54,2,4,512,2095,1,8,10,0,0,1000000,1,0,4625197,0.0001,17.5655,7.06958e+08,,0.994086,5193,444032,5927331520
54,2,4,512,2095,1,8,10,0,0,1000000,1,0,4644097,0.0001,17.6263,7.09718e+08,,0.993827,5192,444288,5951527808
54,2,4,512,2095,1,8,10,0,0,1000000,1,0,4655260,0.0001,17.5397,7.11468e+08,,0.98875,5198,445117,5965829456
54,2,4,512,2095,1,8,10,0,0,1000000,1,0,4709846,0.0001,17.8405,7.1984e+08,,0.991442,5212,444564,6035688976
54,2,4,512,2095,1,8,10,0,0,1000000,1,0,4690739,0.0001,17.6433,7.1687e+08,,0.993731,5188,443440,6011214880
4,4,4,512,2095,1,8,10,0,0,1000000,1,0,1209029,0.0000,1.9500,1.84678e+08,,0.267649,33295,33356,1548084928
