thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
2,2,4,512,2095,1,8,10,0,0,1000000,1,0,147671,0.0000,143.4561,2.25086e+07,,0.994062,1408,4354,189088576
2,2,4,512,2095,1,8,10,0,0,1000000,1,0,144729,0.0000,137.9320,2.20904e+07,,0.993369,1445,4608,185326640
2,2,4,512,2095,1,8,10,0,0,1000000,1,0,144883,0.0000,147.8511,2.2071e+07,,0.993074,1407,4380,185520112
2,2,4,512,2095,1,8,10,0,0,1000000,1,0,146915,0.0000,147.5718,2.24368e+07,,0.99402,1411,4348,188120816
2,2,4,512,2095,1,8,10,0,0,1000000,1,0,150602,0.0000,149.5383,2.29828e+07,,0.994048,1397,4277,192839008
6,2,4,512,2095,1,8,10,0,0,1000000,1,0,293331,0.0000,141.1519,4.4752e+07,,0.989178,1447,15237,375706528
6,2,4,512,2095,1,8,10,0,0,1000000,1,0,311996,0.0000,149.5651,4.76392e+07,,0.99171,1413,14564,399586784
6,2,4,512,2095,1,8,10,0,0,1000000,1,0,238827,0.0001,122.6792,3.64832e+07,,0.985046,1543,17130,305971520
6,2,4,512,2095,1,8,10,0,0,1000000,1,0,231430,0.0000,105.7937,3.53463e+07,,0.987625,1580,18010,296518096
6,2,4,512,2095,1,8,10,0,0,1000000,1,0,316096,0.0000,125.8919,4.8165e+07,,0.992455,1023,11567,404786448
14,2,4,512,2095,1,8,10,0,0,1000000,1,0,359216,0.0000,65.9598,5.49073e+07,,0.984536,1496,41790,460463552
14,2,4,512,2095,1,8,10,0,0,1000000,1,0,534809,0.0000,170.9947,8.15436e+07,,0.990016,1277,32276,685068752
14,2,4,512,2095,1,8,10,0,0,1000000,1,0,607196,0.0000,186.5976,9.27022e+07,,0.992285,1182,28502,777662992
