thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
2,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,90938,0.0000,1.4529,1.44102e+07,,0.986263,74099,274599,120793744
2,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,92168,0.0000,1.4925,1.45974e+07,,0.985723,74905,273844,122356048
2,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,91470,0.0000,1.5093,1.44939e+07,,0.984224,75821,275766,121493824
2,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,92514,0.0000,1.5821,1.46519e+07,,0.983829,76660,275155,122820240
2,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,90474,0.0000,1.6948,1.43397e+07,,0.983309,76639,274597,120200592
6,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,287662,0.0000,3.0495,4.4912e+07,,0.994268,50914,516945,376477584
6,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,285873,0.0000,2.9976,4.46507e+07,,0.994067,51324,522259,374271952
6,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,495439,0.0000,2.8901,7.67722e+07,,0.993821,62979,586550,643544976
6,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,284224,0.0000,3.0157,4.43926e+07,,0.994194,50988,520053,372126528
6,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,287458,0.0000,2.9974,4.4885e+07,,0.994247,50821,518140,376235088
14,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,568067,0.0000,4.8815,8.81315e+07,,0.99453,32068,726102,738741200
14,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,1290490,0.0000,4.7861,1.98617e+08,,0.995628,39285,813656,1664838912
14,2,4,512,2095,0.001,8,10,0,0,1000000,1,0,808071,0.0000,4.8563,1.2483e+08,,0.995653,34661,755564,1046416544
