thread_num,logger_num,buffer_num,buffer_size,clocks_per_us,epoch_time,extime,max_ope,rmw,rratio,tuple_num,ycsb,zipf_skew,throughput[tps],abort_rate,durabule_latency,log_throughput[B/s],backpressure_latency_rate,write_latency_rate,write_count,buffer_count,byte_count
2,,,,2095,40,8,10,0,0,1000000,1,0,666931,0.0000,,,,,,,
2,,,,2095,40,8,10,0,0,1000000,1,0,659491,0.0000,,,,,,,
2,,,,2095,40,8,10,0,0,1000000,1,0,669267,0.0000,,,,,,,
2,,,,2095,40,8,10,0,0,1000000,1,0,658977,0.0000,,,,,,,
2,,,,2095,40,8,10,0,0,1000000,1,0,652737,0.0000,,,,,,,
4,,,,2095,40,8,10,0,0,1000000,1,0,1262576,0.0000,,,,,,,
4,,,,2095,40,8,10,0,0,1000000,1,0,1255833,0.0000,,,,,,,
4,,,,2095,40,8,10,0,0,1000000,1,0,1266412,0.0000,,,,,,,
4,,,,2095,40,8,10,0,0,1000000,1,0,1253640,0.0000,,,,,,,
4,,,,2095,40,8,10,0,0,1000000,1,0,1239761,0.0000,,,,,,,
8,,,,2095,40,8,10,0,0,1000000,1,0,2507535,0.0000,,,,,,,
8,,,,2095,40,8,10,0,0,1000000,1,0,2508343,0.0000,,,,,,,
8,,,,2095,40,8,10,0,0,1000000,1,0,2493108,0.0000,,,,,,,
8,,,,2095,40,8,10,0,0,1000000,1,0,2489118,0.0000,,,,,,,
8,,,,2095,40,8,10,0,0,1000000,1,0,2500235,0.0000,,,,,,,
16,,,,2095,40,8,10,0,0,1000000,1,0,4713371,0.0000,,,,,,,
16,,,,2095,40,8,10,0,0,1000000,1,0,4681787,0.0000,,,,,,,
16,,,,2095,40,8,10,0,0,1000000,1,0,4688895,0.0000,,,,,,,
16,,,,2095,40,8,10,0,0,1000000,1,0,4692199,0.0000,,,,,,,
16,,,,2095,40,8,10,0,0,1000000,1,0,4666339,0.0000,,,,,,,
24,,,,2095,40,8,10,0,0,1000000,1,0,6372845,0.0001,,,,,,,
24,,,,2095,40,8,10,0,0,1000000,1,0,6362259,0.0001,,,,,,,
24,,,,2095,40,8,10,0,0,1000000,1,0,6372722,0.0001,,,,,,,
24,,,,2095,40,8,10,0,0,1000000,1,0,6315386,0.0001,,,,,,,
24,,,,2095,40,8,10,0,0,1000000,1,0,6313011,0.0001,,,,,,,
32,,,,2095,40,8,10,0,0,1000000,1,0,7508208,0.0001,,,,,,,
32,,,,2095,40,8,10,0,0,1000000,1,0,7526503,0.0001,,,,,,,
32,,,,2095,40,8,10,0,0,1000000,1,0,7521016,0.0001,,,,,,,
32,,,,2095,40,8,10,0,0,1000000,1,0,7530048,0.0001,,,,,,,
32,,,,2095,40,8,10,0,0,1000000,1,0,7543137,0.0001,,,,,,,
40,,,,2095,40,8,10,0,0,1000000,1,0,8559753,0.0001,,,,,,,
40,,,,2095,40,8,10,0,0,1000000,1,0,8523067,0.0001,,,,,,,
40,,,,2095,40,8,10,0,0,1000000,1,0,8523193,0.0001,,,,,,,
40,,,,2095,40,8,10,0,0,1000000,1,0,8527972,0.0001,,,,,,,
40,,,,2095,40,8,10,0,0,1000000,1,0,8516169,0.0001,,,,,,,
48,,,,2095,40,8,10,0,0,1000000,1,0,9412495,0.0001,,,,,,,
48,,,,2095,40,8,10,0,0,1000000,1,0,9418811,0.0001,,,,,,,
48,,,,2095,40,8,10,0,0,1000000,1,0,9397057,0.0001,,,,,,,
48,,,,2095,40,8,10,0,0,1000000,1,0,9397904,0.0001,,,,,,,
48,,,,2095,40,8,10,0,0,1000000,1,0,9405231,0.0001,,,,,,,
56,,,,2095,40,8,10,0,0,1000000,1,0,10215040,0.0001,,,,,,,
56,,,,2095,40,8,10,0,0,1000000,1,0,10217553,0.0001,,,,,,,
56,,,,2095,40,8,10,0,0,1000000,1,0,10252723,0.0001,,,,,,,
56,,,,2095,40,8,10,0,0,1000000,1,0,10217134,0.0003,,,,,,,
56,,,,2095,40,8,10,0,0,1000000,1,0,10212910,0.0001,,,,,,,
